ids,1cm_1,1cm_2,1cm_3,1cm_4,2cm_1,2cm_2,2cm_3,2cm_4,3cm_1,3cm_2,3cm_3,3cm_4,4cm_1,4cm_2,4cm_3,4cm_4,5cm_1,5cm_2,5cm_3,5cm_4
PaCtg0980g30962-t1_30962,2.462728454,2.409186284,2.455211047,2.404944444,2.141981897,2.120616607,2.115321545,2.086292389,1.840765664,1.865486124,1.871604325,1.892715872,1.646574983,1.607541731,1.652215773,1.613725767,1.853008758,1.880208356,1.876523435,1.805113627
PaChr1g02160-t1_2160,1.039937035,1.060554314,1.030160268,1.057288933,0.975727037,0.944690468,1.013266514,1.013241762,1.008117319,1.017470231,1.021538944,1.007868373,1.127669995,1.124626212,1.149637702,1.165625455,1.097049921,1.105851551,1.07910561,1.060192258
PaCtg2638g37789-t1_37789,0.808098827,0.821866106,0.82268552,0.831452607,0.781904433,0.815392323,0.799635576,0.794238168,0.836369184,0.819329154,0.831054472,0.811835906,0.845525371,0.85371805,0.856094651,0.849985868,0.932082935,0.904189046,0.907862174,0.938497252
PaChr11g05581-t1_5581,0.726282995,0.749137321,0.742642508,0.746965399,0.720861905,0.746340758,0.742550063,0.745934989,0.743733184,0.73930754,0.738963018,0.719265703,0.748804021,0.748468309,0.744870289,0.746802168,0.732401013,0.734953186,0.707858958,0.736897455
PaChr9g25269-t1_25269,0.720013241,0.741275206,0.737795039,0.741518431,0.712034291,0.736847033,0.733922199,0.738812355,0.742196442,0.740203719,0.735898234,0.717951045,0.752595036,0.749359514,0.746106121,0.750559444,0.734013941,0.739205631,0.710917245,0.739787287
PaChr10g04066-t1_4066,0.730164427,0.749864384,0.747479886,0.752709479,0.725464405,0.751300047,0.747407276,0.749230512,0.758474748,0.751901675,0.747115939,0.731611826,0.764868829,0.759735268,0.752406028,0.761289688,0.742177687,0.741945328,0.718433431,0.750326091
PaCtg2665g37867-t1_37867,2.488497683,2.519150914,2.308990904,2.520639423,2.265215351,2.21150386,2.169335275,2.308503457,3.162722547,3.320938803,3.122787593,3.300120123,4.880681796,4.941878136,4.760459724,4.60717002,4.490239102,4.465411214,4.651654753,4.501286366
PaChr5g16423-t1_16423,0.752552736,0.763319849,0.783816026,0.767412763,0.744762583,0.761305609,0.778784017,0.762830996,0.770413516,0.767990083,0.770940954,0.74984666,0.791374069,0.788620034,0.798541633,0.799233288,0.757327517,0.772550472,0.74019572,0.766765684
PaChr2g08789-t1_8789,0.735473993,0.756577718,0.752689746,0.756109056,0.73845784,0.759026403,0.7598227,0.767146315,0.760484467,0.759006586,0.760774179,0.739676909,0.755595822,0.755504245,0.748856257,0.750021488,0.73554144,0.736515982,0.711123913,0.741517899
PaCtg1255g32554-t1_32554,0.719871995,0.74173551,0.737641644,0.74078093,0.7131432,0.738632696,0.735318459,0.738677604,0.742679458,0.740797244,0.738467526,0.719245673,0.749382431,0.748022032,0.742345057,0.747130367,0.732433602,0.733697784,0.707188066,0.736190542
PaCtg2396g37224-t1_37224,0.761208315,0.78192146,0.777312904,0.780703767,0.745211873,0.772386038,0.763203062,0.769313758,0.750180002,0.749246154,0.756638506,0.731275773,0.765531488,0.774900462,0.758634366,0.771162396,0.7586241,0.771551064,0.742464192,0.77298357
PaChr4g15193-t1_15193,0.720825279,0.743538785,0.738018196,0.741355892,0.716038547,0.741158659,0.73986401,0.739735691,0.739991363,0.738429347,0.735411717,0.716405742,0.751852092,0.750905742,0.745876151,0.751036507,0.732560115,0.734535631,0.707718885,0.736749581
PaChr3g12959-t1_12959,2.657793711,2.682433953,2.556617585,2.596405143,2.891533189,2.792296704,2.797838129,2.900880055,2.561044387,2.704220676,2.596796973,2.691071921,3.263681312,3.361038835,3.165907418,3.092420434,2.802869787,2.759994839,2.881773929,2.844342933
