ids,log2FC_T6_T0,transformed_pval,adjusted_p_values_BC2,adjusted_p_values_bh2,adjusted_p_values_by2
PaCtg1811g35240-t1_35240,-0.0008607299839292599,1.0144576490866752,-2.287006424056625,0.8420386358313333,-0.0
PaChr3g11764-t1_11764,-0.0006398561494452868,0.6611357123764254,-2.6403283607668744,0.5683816591395268,-0.0
PaChr9g25334-t1_25334,-0.001167216265848126,2.632574300059081,-0.6688897730842187,1.7244801051479386,0.8117603913531735
PaChr9g24494-t1_24494,-0.001597595028864981,1.2436969654609997,-2.0577671076823,1.0021747803796546,0.08945506658488957
PaChr2g08214-t1_8214,-0.0013310585249402278,1.630078048481054,-1.6713860246622458,1.2376348295489101,0.324915115754145
PaChr9g24859-t1_24859,-0.00013013504067311838,0.12182362637530783,-3.179640446767992,0.1034345279674795,-0.0
PaCtg3123g38909-t1_38909,-0.0014356544187539486,4.369773702835082,1.068309629691782,2.4738604754768376,1.5611407616820725
PaChr11g05673-t1_5673,-0.0014427460783802714,0.43556926286589903,-2.8658948102774007,0.3776392915546611,-0.0
PaChr7g20925-t1_20925,-0.0022579768108945677,2.3338149889259365,-0.9676490842173634,1.5897157765045622,0.6769960627097971
PaCtg3468g39635-t1_39635,-0.0010851609636662797,1.2385810762976823,-2.0628829968456177,0.9989463104490816,0.08622659665431644
PaCtg0470g27520-t1_27520,-0.0008960341580623884,1.4022907912022784,-1.8991732819410214,1.093380235891114,0.180660522096349
PaChr7g20346-t1_20346,-0.0005945920158143244,0.6170910540306999,-2.6843730191126,0.5317928831733931,-0.0
PaChr9g24971-t1_24971,-0.001174203435158089,2.6370968571444253,-0.6643672159988745,1.7244801051479386,0.8117603913531735
PaChr12g07641-t1_7641,-0.0018809948260590165,2.2052343329425996,-1.0962297402007,1.5301106271743423,0.6173909133795772
PaChr1g03131-t1_3131,-0.0016511969586862699,1.9426313697231925,-1.3588327034201075,1.4090649125979833,0.4963451988032181
PaChr7g20735-t1_20735,-0.0007861811575917192,0.25720600002154576,-3.044258073121754,0.21890439184046254,-0.0
PaChr3g12473-t1_12473,0.00044692492427657446,0.6453271871897942,-2.6561368859535057,0.5549836553045437,-0.0
PaChr11g06621-t1_6621,-0.0037004391950791462,2.244833476746846,-1.056630596396454,1.5550927116108877,0.6423729978161227
PaChr5g16641-t1_16641,-0.0017768291740255042,1.323156258179777,-1.978307814963523,1.0502367790809812,0.1375170652862162
PaChr2g10471-t1_10471,0.000500735441036759,0.1334255166673105,-3.1680385564759894,0.11435694826653624,-0.0
PaCtg0715g29349-t1_29349,-0.00243860925592276,1.624020622442489,-1.677443450700811,1.2336310374251283,0.3209113236303632
PaChr6g19150-t1_19150,-0.0027189442601832604,2.4337449929602855,-0.8677190801830141,1.6378766532571374,0.7251569394623723
PaChr7g21718-t1_21718,-0.0020080225966739858,1.673662290088722,-1.627801783054578,1.258688942117904,0.345969228323139
PaChr2g10543-t1_10543,-0.0026817441486035303,2.1453489569202984,-1.1561151162230017,1.5028497264414333,0.5901300126466683
PaChr4g15355-t1_15355,-0.0001228695121710563,0.05747622496568258,-3.243987848177617,0.04871115486631244,-0.0
PaChr7g21483-t1_21483,-0.0014720841608913617,1.8068775822011498,-1.49458649094215,1.346261795053456,0.4335420812586908
PaChr4g14889-t1_14889,0.00013323203476743844,0.1109380050507238,-3.190526068092576,0.09403325626060798,-0.0
PaChr12g07523-t1_7523,0.0033428200661908248,1.732578966206984,-1.5688851069363159,1.297992707401183,0.3852729936064178
PaChr3g13475-t1_13475,-0.0014232474111949786,2.3192453933652475,-0.9822186797780522,1.5867787597582386,0.6740590459634735
PaChr2g10424-t1_10424,-0.0007759603580676377,0.3014057472087246,-3.0000583259345754,0.25905751825049106,-0.0
PaCtg0151g25787-t1_25787,-0.0014723883559863101,1.9563995740218352,-1.3450644991214646,1.4184241352888238,0.5057044214940588
PaChr7g21372-t1_21372,-0.0010229264359545183,0.4556830138488411,-2.845781059294459,0.39551632781553436,-0.0
PaChr3g11555-t1_11555,-0.0009254782112820036,0.609038160964353,-2.6924259121789467,0.5242676869908076,-0.0
PaChr12g07416-t1_7416,0.04191583325414248,1.6725429238016531,-1.6289211493416467,1.2585115275474243,0.34579181375265927
PaChr1g03595-t1_3595,-0.0021513488559318714,2.064438979337438,-1.2370250938058618,1.461944910530157,0.5492251967353918
PaChr5g18204-t1_18204,-0.001389498373180201,1.955712076041793,-1.3457519971015068,1.4184241352888238,0.5057044214940588
PaChr2g08745-t1_8745,-0.0022310781872627184,1.84163282152352,-1.4598312516197798,1.36773641485683,0.45501670106206504
PaChr11g05339-t1_5339,-0.0024981191271655806,2.6050385573138213,-0.6964255158294784,1.7105397230772914,0.7978200092825265
PaChr11g06166-t1_6166,-0.001972391671980551,1.2576853942418273,-2.0437786789014725,1.0104512309619247,0.0977315171671596
PaChr5g18146-t1_18146,-0.0019315339563999313,1.1391186440951093,-2.1623454290481905,0.9338691562982147,0.021149442503449547
PaChr8g22215-t1_22215,0.0009686087507310829,0.24221112224518923,-3.059252950898111,0.20697874579178258,-0.0
PaCtg1491g33814-t1_33814,-0.0025238700866076053,1.0088332888370857,-2.292630784306214,0.8396289052248304,-0.0
PaChr5g18230-t1_18230,0.000629767961478652,0.3464706303006238,-2.954993442842676,0.2993128894886095,-0.0
PaChr12g08034-t1_8034,-0.0010688137182851632,0.47163724519487327,-2.8298268279484264,0.40947265117846593,-0.0
PaChr7g20641-t1_20641,-0.0030548252715580622,2.1683002908800777,-1.1331637822632221,1.5104486127650727,0.5977288989703077
