Time0_1,Time0_2,Time0_3,Time6_1,Time6_2,Time6_3,cv1,cv2,means1,means2
4.895078819,4.718600302,4.809883326,5.203230125,5.255483882,4.737878528,0.958001588,4.593106017,4.764241814,5.065530845
4.691216491,4.917867119,4.809883326,4.658078955,4.706232294,4.614065129,1.110059241,0.807813464,4.863875222,4.659458793
4.800756499,4.824626707,4.811336138,4.500618796,4.702538953,4.905428178,0.137926735,3.514091987,4.817981422,4.702861976
4.883898106,4.736380589,4.811876133,4.272930138,4.473284974,4.717319161,0.790673588,4.049002459,4.774128361,4.487844758
4.807777709,4.820652211,4.812820362,4.618169933,4.612836175,4.830797245,0.081298299,2.165739535,4.816736286,4.687267784
4.866802951,4.761420398,4.814352667,4.870648919,4.943106916,4.297652074,0.552772804,6.137825898,4.787886532,4.703802636
4.797481699,4.844181846,4.819687346,4.881376037,4.786930289,4.761460983,0.25346473,1.072452494,4.831934596,4.809922437
4.818225195,4.826956691,4.821208259,4.538113803,4.562529579,4.53029496,0.059580576,0.30215519,4.824082475,4.543646114
4.852120424,4.792065018,4.821275054,4.449808307,4.201662576,4.140361803,0.303848987,3.137640445,4.806670036,4.263944229
4.816888197,4.83917581,4.826702661,4.5583701,4.821445046,4.759298449,0.129043098,2.382134831,4.832939235,4.713037865
4.841895217,4.815516903,4.827465949,4.79146012,4.856908524,4.501495313,0.123914412,3.274501405,4.821491426,4.716621319
4.770424471,4.888932905,4.830082869,4.786124691,4.992075984,5.186965647,0.605514359,3.280887101,4.859507887,4.988388774
4.891942256,4.76686551,4.830330924,4.817510828,4.901854656,4.350127047,0.661291191,5.174222418,4.798598217,4.689830844
4.891942256,4.76686551,4.830330924,4.817510828,4.901854656,4.350127047,0.661291191,5.174222418,4.798598217,4.689830844
4.81862591,4.845258044,4.830645032,4.76673428,4.699913779,4.895768297,0.151024785,1.697990071,4.837951538,4.787472118
4.887402914,4.774040575,4.831256409,4.618974735,4.395657336,4.044874953,0.595669596,5.428068945,4.802648492,4.353169008
4.889505546,4.777694876,4.834093169,4.671916745,4.748108877,5.047718125,0.586761722,3.363472328,4.805894022,4.822581249
4.818091584,4.8610928,4.838446737,5.398138842,5.11598754,4.962957377,0.233475644,3.493874858,4.849769768,5.15902792
4.859267806,4.822591495,4.839822455,4.660467438,4.581405796,4.634426848,0.178329771,0.711226196,4.831206975,4.625433361
4.866549613,4.819077733,4.841849534,4.951562965,4.785099794,4.554065881,0.235710301,3.421581331,4.830463633,4.763576214
