ids,Time0_1,Time0_2,Time0_3,Time6_1,Time6_2,Time6_3
PaChr2g09576-t1_9576,0.9380463541340847,0.9386193504074253,0.9372389634380857,0.9130767126062074,1.0299923416069305,0.6762382235247876
PaChr9g25208-t1_25208,0.9826201680703056,0.8916964949202528,0.9373420974120649,0.7256934812279737,0.4734838110353516,0.8130262299736692
PaCtg2127g36436-t1_36436,0.9118089768460925,0.9666249665180912,0.9384316746060054,0.7600937074222219,1.0083136065587204,1.1056290480966942
PaChr1g02334-t1_2334,0.950008062146671,0.941975071280555,0.9449425777984404,0.7901642261478483,0.8704410976768372,1.0590848772971915
PaChr4g15062-t1_15062,0.9781994847325944,0.9131822882703066,0.9453078368070041,1.0591580314694502,1.2201624892517788,0.5298409485794467
PaCtg1188g32206-t1_32206,0.962929178091305,0.9312774604007126,0.9462276568546014,0.9078782395702151,0.9065357424424928,1.1757069315799578
PaCtg0822g30045-t1_30045,0.8691114154102417,1.020365459196798,0.9464611178699676,0.9593299343635829,1.171295044454707,1.0639313893081628
PaChr3g12732-t1_12732,0.9733629461622574,0.9250152613254876,0.9485305332489827,0.378375919393536,0.29506232570952085,-0.013012432125542997
PaChr5g16037-t1_16037,0.9946003987074881,0.9086870238001098,0.9517421590932336,1.6547812819164045,1.5916423513094413,1.1325011150998487
PaChr2g09068-t1_9068,0.9314020134561765,0.9831100016023183,0.9564740644439692,0.7009069375554138,0.7016904568766097,0.5437158913522788
PaCtg1438g33599-t1_33599,1.031600973210523,0.8788338524769975,0.957599249889833,1.2614829382238468,1.001404662473688,1.0020927392495254
PaChr5g17061-t1_17061,0.9824805962535019,0.9427680931196802,0.961885624385515,1.172630691707424,1.213641021416161,1.4766448179473464
PaCtg5309g42213-t1_42213,0.9824805962535019,0.9427680931196802,0.961885624385515,1.172630691707424,1.213641021416161,1.4766448179473464
PaCtg0990g31041-t1_31041,0.9698886703869818,0.9562348522247955,0.9620865159084753,0.9797410650343852,0.89574342136088,0.2965766856209894
PaChr5g17086-t1_17086,0.9328172213352833,0.9956830422030802,0.9636348038429472,0.936071640997384,0.7052719224259517,0.7387725232158843
PaChr2g09067-t1_9067,0.9545654626396631,0.9818152730951655,0.9672232858222585,0.8706168069894694,1.1122860165877995,1.188709196581066
PaChr10g04720-t1_4720,1.0551049044649679,0.8752116186592864,0.9688343423743188,1.0760387087819654,0.7503070751028921,0.6134056291008947
PaCtg1541g34051-t1_34051,0.9413214268118029,1.001741919936082,0.9708975793158658,0.7643578903499959,0.9558097298456554,0.5965012203967888
PaChr10g04435-t1_4435,0.9294229694144494,1.0236317338954248,0.976537587495713,0.8458494843914123,0.676338051504724,0.7130240384633362
PaCtg1188g32207-t1_32207,0.9891286952235322,0.9684265040065253,0.9778929303885224,1.487386847125354,1.1223633281002987,1.2816578793118802
PaChr2g08932-t1_8932,0.9249470489112666,1.0309600420380907,0.9782596657756477,0.36808669613294465,0.539748008690368,0.29884533019833515
PaCtg0998g31070-t1_31070,0.963784184794441,0.9945999783718886,0.9782737681210584,0.7901291765025049,0.7406324074749921,1.1736954801614814
PaChr11g05385-t1_5385,0.9961145982453637,0.9646765741223162,0.9796125255369732,0.9123709369893255,0.7673110231547041,1.1293034465035403
PaChr6g19408-t1_19408,0.9763184917656783,0.9876556061187131,0.9810056228296562,1.479057857348882,1.1966870056987489,1.4970293019572256
PaCtg0482g27601-t1_27601,1.052415985167372,0.9125760814383528,0.9844303150568863,0.5513647380885737,0.45550920894432867,0.5812318038453508
PaChr7g21749-t1_21749,0.9125622306716707,1.0593834485844629,0.9875912639889858,1.09805432850919,1.1161858757789034,1.2769333174749615
PaChr2g09979-t1_9979,0.9928353002188146,0.9854135991388007,0.9881914810097081,0.8530454117148718,0.7230850185890467,0.6931877726485385
PaChr11g06748-t1_6748,0.97665566747735,1.0061166362199645,0.9904910877643652,0.9423942245621609,0.9757559522524611,0.827277693834397
PaCtg1711g34851-t1_34851,0.9921448941168848,0.9919844033266114,0.9911172779035698,0.7426869811930027,0.7256446573163302,1.0152987163811722
PaChr5g17123-t1_17123,0.9577250868387268,1.0266450698571716,0.9917291496064902,1.4805527485783938,1.1048147629335259,1.1404243985368785
PaChr2g09329-t1_9329,0.9747152254973855,1.016192038910806,0.9946578313480537,1.3794140515848492,1.380938929386321,1.525966796808618
PaChr2g08111-t1_8111,1.028869824985673,0.9631264435774227,0.9957796934505516,1.2738473878569736,1.1771067795745371,0.8762544843434508
PaChr5g17504-t1_17504,0.9991904316322161,0.9951277799147983,0.99623636499232,0.9232354846737404,0.9780514882108543,1.2694921770858945
PaChr4g15458-t1_15458,0.979012460794418,1.0167350811201248,0.9970522861757787,0.9202877691221877,0.9501884631491275,0.9193180012249806
PaChr1g01627-t1_1627,0.96640127809869,1.0324029177036271,0.9989165664890836,0.8732143079571035,1.2787103573342025,0.8487904642557814
PaChr12g07495-t1_7495,0.9664864933239514,1.0337369613242942,0.9996474604830365,0.9158638816816076,0.7380030532966563,0.7393084865341762
PaChr5g17841-t1_17841,1.0579920266960277,0.9400337482425994,1.00019870290708,0.7628424139752396,0.6246717883450963,0.16832761347386563
PaChr2g10351-t1_10351,1.0238907466914655,0.9776658174482201,1.0002400330740404,0.39848808964057475,0.782947846459886,0.941528746257497
PaChr5g18227-t1_18227,1.06573275449917,0.9332073111667477,1.0011763636520887,1.034807015925307,0.5301443385015636,0.5161080228877883
PaChr5g16689-t1_16689,1.0205207627821355,0.9922630004428707,1.0056523515701075,0.7413938470391865,0.8257377859460215,0.9260676759290316
PaChr1g00495-t1_495,1.0103639412276866,1.0040005889936532,1.0062959112200065,1.0048183329466591,1.1908773576032214,0.8580909854179773
PaChr10g04033-t1_4033,1.0586095358664815,0.9597590428432243,1.009807194867219,0.8087260681595126,0.8969001327826057,0.39218988411916367
PaChr12g07441-t1_7441,1.0107160318869148,1.013036241052623,1.010979260525243,1.0106941945474386,0.7600982552855087,0.667561541307021
PaCtg3216g39127-t1_39127,0.9583557147910756,1.064379217984048,1.0117416830701071,0.67450776488048,0.8334952873806634,1.0291450492195353
PaCtg1244g32496-t1_32496,0.9914263254501068,1.0427855175075182,1.016465819999022,0.764646267346595,0.9152464028265861,0.8507465547634177
PaChr2g09881-t1_9881,0.9944901785194388,1.0444478569385824,1.0188190416289042,1.1421269517095127,0.9646008669025169,0.9787648327654037
PaChr1g00921-t1_921,0.9874364331181207,1.051617940304311,1.0190621435670666,1.092116742065453,0.9042756220250905,0.901296644049497
PaChr5g16555-t1_16555,0.9900705825749317,1.0524548625614918,1.0207755846843827,0.939745157125266,1.1584986471698253,1.0910598502378421
PaChr5g18311-t1_18311,1.2684777414078146,0.6891399649404631,1.0232928748115484,2.004171917785033,0.3990700781575105,0.597047621562431
PaCtg0266g26303-t1_26303,1.0469366535028093,1.0006381697884925,1.023319761439443,0.837732067436909,0.7922602594691862,1.2512184922027214
PaCtg0703g29224-t1_29224,1.0315215384292766,1.0185520083875312,1.0242334513453735,0.6717171269080096,0.7706458195420499,1.1370238433034656
PaChr7g21129-t1_21129,1.0239708357082586,1.029139962053112,1.025696199856742,0.7817489400729905,0.7598447821451594,1.050250645797868
PaChr11g05463-t1_5463,1.010824340614364,1.044974976539278,1.0271299078162204,0.29726252757243216,0.6392520399922115,0.09386484976895382
PaChr1g03309-t1_3309,1.0379075971837872,1.0220134998803394,1.0291895615310729,0.9381341779984739,0.9266958135788632,0.6567209479065433
PaChr12g07462-t1_7462,1.014256590476662,1.046265186034075,1.0294834314193237,1.119644458966877,1.2832275429650954,1.7171897190321117
PaChr3g13200-t1_13200,0.9991355954433797,1.0644308507624902,1.0313647025408266,0.9517395385938089,1.1771998561491654,1.107650981492008
PaChr12g07237-t1_7237,1.0226885828734789,1.0443687637889798,1.032709980467886,0.9390891686125027,0.9396803893895426,1.0279279001781556
PaCtg0944g30740-t1_30740,1.0019281140921374,1.0669059411648545,1.0340001794402307,1.10665451961078,0.9564550564099252,0.8507780696343342
PaChr2g10373-t1_10373,1.09066787204082,0.9788814939765706,1.0358724877214005,1.1604892235581927,1.1602288764046187,0.6057436230182918
PaChr5g17094-t1_17094,1.072802090503707,0.9995054873101952,1.036217331411515,1.1642324729881928,1.1586172550714915,0.5663853212129327
PaCtg0389g26980-t1_26980,1.0171385156346142,1.0571228751932196,1.036429480400728,0.7317670902971867,0.8159402653568665,1.1127456155122053
PaChr1g00494-t1_494,1.0445374449724008,1.0302377809452108,1.0366283268461853,0.7485018016787017,0.7371496733407091,0.7913304549841395
PaCtg0555g28074-t1_28074,1.0256777602629552,1.057539015658108,1.0408604522703222,0.9236904836668408,0.9656758696060963,1.0091032594931542
PaChr2g08613-t1_8613,1.0559822965568677,1.0392665584775376,1.0469111489708627,1.1366284468423535,1.0430872112321714,0.9426677893800736
PaChr2g10941-t1_10941,1.0290556910994353,1.0664938720603643,1.0470815860497928,0.8334959251883476,1.1026298741766989,1.1637514192878469
PaCtg0955g30807-t1_30807,1.083331977484121,1.010935622918435,1.047212670615175,0.9132300711303875,0.829943615697918,1.1804201028831665
PaChr1g03203-t1_3203,1.035748628592693,1.0640951876981135,1.0491767639976943,0.8834052659876424,0.8981178230659345,1.157738034908844
PaCtg1334g33001-t1_33001,1.0681036312255057,1.0390014476673666,1.0529624975483511,0.8022461626729995,0.8263109000069684,1.048833295875404
PaChr11g06465-t1_6465,1.038564825055958,1.069220517832314,1.0531709257862747,0.8026957182049579,0.9731955944142198,1.156589276266765
PaChr3g12829-t1_12829,1.0609728787522419,1.0544656961300625,1.056979681888715,0.8665294241578267,0.9967799116819135,1.0601362930098348
PaChr1g02360-t1_2360,1.0518202725996075,1.0655402795886837,1.057913283488793,1.0107770802543492,1.0550006711008348,1.199533151059841
PaCtg1255g32570-t1_32570,1.1162637916545994,0.9985651593897111,1.0587812264038852,1.4439483389881913,1.537182391658002,0.7542904461187198
PaChr12g06884-t1_6884,1.00631887344146,1.1103946355311507,1.0587812264038852,0.647436294823636,0.5502538060940012,0.304490163756186
PaChr7g21345-t1_21345,1.0216454486904927,1.096341740206022,1.0587941747582963,1.4517211486904225,1.3200820644220845,1.4966358777068118
PaChr2g10208-t1_10208,1.0318921760855433,1.109212926535597,1.0704277620565839,0.5606779553299461,0.6149186167811667,0.5916949158331672
PaChr10g04827-t1_4827,1.0714330862904373,1.074931442989971,1.0724592673114606,0.7006362821405494,1.1070697647600392,0.9515035217591404
PaChr7g20688-t1_20688,1.1303073419876462,1.0157573809436284,1.0743463304420082,1.4410375468233276,1.4966704586642035,0.7391655947598744
PaCtg0240g26154-t1_26154,1.0023107454409046,1.1460872319658464,1.0758609165367714,1.1717452254795289,1.8038301966202006,1.0811605032908487
PaChr12g07881-t1_7881,1.086058452377734,1.0701191161639731,1.0774619682064253,0.6816838239583103,0.9537828789998037,0.17810878027214347
PaChr5g16034-t1_16034,1.0820786405809844,1.0768954657220733,1.078806798290598,0.5224945581132682,0.7547606028836317,0.9449699741531673
PaChr12g06958-t1_6958,1.1856491833017828,0.960018501943384,1.0794278223686993,0.937118426334694,0.5647313840217036,0.07162704090652187
