ids,Time0_1,Time0_2,Time0_3,Time6_1,Time6_2,Time6_3
PaChr7g21372-t1_21372,79.2,96.1,87.65,126.1,111.5,61.5
PaChr3g11555-t1_11555,81.3,96.4,88.85,76.2,105.6,140.3
PaChr12g07416-t1_7416,84.9,93.4,89.15,1477.9,842.8,1509.6
PaChr1g03595-t1_3595,90.9,87.5,89.2,78.9,78,64.1
PaChr5g18204-t1_18204,86.1,92.7,89.4,96.7,93.4,93.6
PaChr2g08745-t1_8745,80,99.8,89.9,78.3,81.9,56.3
PaChr11g05339-t1_5339,89.1,92,90.55,61.4,69.3,70.7
PaChr11g06166-t1_6166,79.3,102.1,90.7,76.7,100.7,61.7
PaChr5g18146-t1_18146,108.2,73.3,90.75,99.2,68.5,80.3
PaChr8g22215-t1_22215,103,79,91,167.1,200,99
PaCtg1491g33814-t1_33814,88,94.6,91.3,61.4,100.7,32.9
PaChr5g18230-t1_18230,86.3,97.7,92,170.2,153.7,128.1
PaChr12g08034-t1_8034,81,103.3,92.15,89.4,139,87.3
PaChr7g20641-t1_20641,89.9,95,92.45,51.9,64,48
PaCtg3573g39828-t1_39828,96.5,90.9,93.7,80.1,78.5,108.2
PaChr4g14379-t1_14379,94.9,95.9,95.4,98.1,91.6,109.4
PaChr12g08016-t1_8016,91.2,101.2,96.2,68.4,79.8,28.4
PaChr3g13351-t1_13351,104.9,88.3,96.6,112.1,110.9,107.2
PaCtg1084g31549-t1_31549,112.5,81.6,97.05,181.3,132.6,77.5
PaChr7g21190-t1_21190,110.6,88.4,99.5,87,80.3,47.4
PaChr3g11729-t1_11729,98,101.5,99.75,409.8,310.1,684.9
PaChr8g23587-t1_23587,107.2,94.5,100.85,129.1,121.6,
PaChr3g12841-t1_12841,91.6,110.8,101.2,97.5,71.9,27.7
PaChr10g04971-t1_4971,98.7,104.1,101.4,80.9,135,68.7
PaChr5g17084-t1_17084,98.4,105.3,101.85,245.1,142.1,112.6
PaChr4g14521-t1_14521,97.3,108.7,103,115.9,141.2,115.5
PaChr7g20613-t1_20613,99,109.4,104.2,71.2,93.9,69.6
PaChr4g15325-t1_15325,85.3,123.5,104.4,510.7,298.5,544.6
PaCtg0728g29416-t1_29416,121.1,88.9,105,83.6,74.1,63
PaCtg0326g26672-t1_26672,106.8,103.4,105.1,90.1,80.9,109
PaChr4g14696-t1_14696,109.2,102.1,105.65,108,107.5,220.6
PaChr9g24177-t1_24177,99.1,112.9,106,176.3,136,204.5
PaCtg2476g37435-t1_37435,107.2,105.7,106.45,1158.6,636.7,1071.3
PaCtg0968g30909-t1_30909,90.6,123,106.8,86.3,132.7,123
PaChr10g04638-t1_4638,92.9,120.7,106.8,94.9,87.8,90.4
PaCtg5114g42015-t1_42015,102.6,111.1,106.85,122.5,133.3,101.7
PaChr7g21207-t1_21207,99.3,114.5,106.9,75.3,140.5,156.4
PaCtg0555g28073-t1_28073,101.9,112.7,107.3,160.5,190,360.8
PaChr9g24025-t1_24025,106.4,109.4,107.9,120.7,131.1,65.3
PaCtg0827g30086-t1_30086,121.6,94.3,107.95,241.6,157.6,197.4
PaChr1g01850-t1_1850,113.1,104.8,108.95,181.5,195.1,281.4
PaCtg2393g37202-t1_37202,108.8,109.1,108.95,78.9,68.5,58.2
PaChr10g05066-t1_5066,113.1,104.9,109,60.6,72,48.5
PaChr2g08805-t1_8805,112.8,106.2,109.5,94.3,97.6,84.5
PaChr11g05978-t1_5978,101.4,119,110.2,118.8,144,244.7
PaCtg0347g26805-t1_26805,98.9,121.6,110.25,146.5,115,83.4
PaChr4g15140-t1_15140,106.4,114.3,110.35,141.1,182.4,225
PaChr5g16759-t1_16759,99.7,,111.3,432.6,550.6,443.5
PaCtg1502g33862-t1_33862,113.7,112.4,113.05,89.5,95.7,108
PaChr1g02430-t1_2430,125.1,103,114.05,135.2,175.1,72.9
PaChr2g11128-t1_11128,100.5,129.6,115.05,87.8,127.8,164.8
PaCtg1027g31270-t1_31270,115.5,115.7,115.6,90.3,98.8,144.1
PaChr2g10849-t1_10849,111.7,120.2,115.95,73.8,99.6,94.4
PaChr3g11967-t1_11967,119,113.8,116.4,109.8,96.8,56.9
PaChr2g08871-t1_8871,110.3,122.6,116.45,153.8,162.1,154
PaChr4g15196-t1_15196,125.4,111,118.2,436.4,178.3,51.7
PaChr3g13214-t1_13214,112.5,124,118.25,123.9,107.3,114.2
PaChr9g23998-t1_23998,122,115.6,118.8,103.1,96.5,159.9
PaChr4g15457-t1_15457,104.6,134.2,119.4,223.6,204.9,264.8
PaCtg3463g39618-t1_39618,116.9,123.3,120.1,798.4,652.1,651.7
PaCtg1643g34582-t1_34582,116.9,123.3,120.1,798.4,,651.7
PaChr3g12790-t1_12790,116.9,123.6,120.25,258.6,233.7,641.1
PaChr1g00228-t1_228,118.1,123.2,120.65,92.7,95.2,140.2
PaChr8g23777-t1_23777,121.6,120.3,120.95,153.7,142.9,89.1
PaChr1g00699-t1_699,124,119,121.5,207.5,205.1,248.3
PaChr3g13804-t1_13804,112.4,132,122.2,382.4,198.9,359
PaChr4g15402-t1_15402,113.2,131.7,122.45,99.6,99.6,183.6
PaChr2g10442-t1_10442,112.4,133.7,123.05,128.4,133.8,201.4
PaChr5g16050-t1_16050,126.8,120,123.4,193.9,155.3,207.6
PaChr12g07566-t1_7566,119.8,128.9,124.35,121.3,126.1,156.5
PaCtg0776g29795-t1_29795,122.6,127.2,124.9,114.6,136.7,126.1
PaCtg0437g27247-t1_27247,124.8,126,125.4,84.9,142.3,117.5
PaCtg0641g28765-t1_28765,136.8,115.9,126.35,109.2,145.8,69.6
PaChr9g23952-t1_23952,136.8,115.9,126.35,109.2,145.8,69.6
PaCtg1303g32863-t1_32863,125.2,128.1,126.65,179,167.7,145.8
PaChr1g00971-t1_971,141.9,111.6,126.75,112.4,121.2,65.3
PaChr5g15971-t1_15971,121.9,131.8,126.85,148.3,154.8,154.6
PaChr2g08512-t1_8512,121.1,132.8,126.95,137.4,162.8,177.4
PaCtg0865g30278-t1_30278,124.5,140.2,132.35,147.3,122.9,127.8
PaChr5g16597-t1_16597,124.7,140.7,132.7,285.1,291.6,229.3
PaCtg4570g41338-t1_41338,121.5,144,132.75,126.1,115.3,101.2
PaChr9g24842-t1_24842,148,118.3,133.15,164.5,138.3,100.4
PaCtg2553g37615-t1_37615,136.8,130.8,133.8,147.1,132.2,122.7
PaChr5g18238-t1_18238,122.5,147,134.75,141.8,107.7,122.2
PaChr12g07001-t1_7001,140.9,132.8,136.85,149.3,175.3,82.1
PaChr1g00564-t1_564,141.2,132.8,137,110.9,94.2,77.1
PaChr1g03079-t1_3079,134,141.3,137.65,91.2,98.7,120.9
PaCtg3033g38710-t1_38710,132.8,,137.7,126.1,77.7,108.5
PaChr1g03423-t1_3423,137.4,138.9,138.15,136.6,134.2,67.2
PaChr12g07856-t1_7856,140.5,138.3,139.4,394.3,307.5,540.5
PaChr1g02452-t1_2452,145.6,134.8,140.2,176.9,184.2,265.7
PaChr12g07371-t1_7371,145.1,135.3,140.2,157.8,158,133.6
PaChr3g12137-t1_12137,137.9,144.1,141,155.8,180,210.1
PaChr1g03419-t1_3419,121.5,161.6,141.55,112.3,149.2,323.1
PaChr1g02936-t1_2936,129,155.7,142.35,142.6,130.1,143.7
PaChr6g19819-t1_19819,142.3,143.8,143.05,98.9,119.7,118.9
PaCtg4471g41192-t1_41192,161.4,125.2,143.3,121.1,109.7,114.4
PaChr4g15543-t1_15543,131.4,156.3,143.85,86.2,125.8,164.6
PaChr9g24534-t1_24534,139.6,148.2,143.9,172.6,167,130.7
PaChr7g20375-t1_20375,141.9,147.1,144.5,162.6,181.7,117.5
PaChr2g10816-t1_10816,137.1,154.6,145.85,162.1,187.3,325.9
PaChr11g05490-t1_5490,138.1,153.9,146,101.9,188,145.6
PaChr10g04588-t1_4588,118.8,176.6,147.7,127.2,229.4,106.4
PaChr11g05935-t1_5935,138.1,157.5,147.8,122.2,146.2,136.7
PaCtg0884g30403-t1_30403,140.3,155.4,147.85,94.1,142.5,75.7
PaChr11g05592-t1_5592,137.9,158.4,148.15,109.5,201.5,82.6
PaCtg1350g33089-t1_33089,138.6,157.9,148.25,112.1,112.2,115.7
PaChr7g21020-t1_21020,149.1,151,150.05,125.1,122.9,76.9
PaChr2g11190-t1_11190,165.6,135,150.3,187,161.2,170.3
PaChr11g05937-t1_5937,142.7,160.2,151.45,123.3,120.2,121.3
PaChr2g10749-t1_10749,142.3,161.4,151.85,216.3,194.4,291.7
PaChr8g23352-t1_23352,161.5,144.2,152.85,104.8,162.3,95.9
PaChr10g04191-t1_4191,152.7,153.4,153.05,103.9,157.6,213.5
PaChr5g17117-t1_17117,153.4,154.9,154.15,138.8,122.4,108.8
PaChr2g08320-t1_8320,145.3,163.1,154.2,152.6,153.6,193.2
PaChr5g15875-t1_15875,160.6,151.8,156.2,178.8,140.6,214.4
PaChr2g10963-t1_10963,136.7,176.8,156.75,111.2,136,138.3
PaCtg1255g32555-t1_32555,140.9,173.1,157,107.5,115.7,94.6
PaChr5g17483-t1_17483,164.9,149.6,157.25,228.7,230.6,112.7
PaChr3g11791-t1_11791,143,172.5,157.75,203.8,378.4,312.3
PaChr2g09404-t1_9404,150.9,165.4,158.15,171,207.7,220.8
PaChr3g12733-t1_12733,141.3,175.3,158.3,117.6,106.2,201.1
PaChr5g16182-t1_16182,150.7,168.8,159.75,162.6,154.8,166.6
PaChr1g00675-t1_675,154.3,165.3,159.8,132.7,122.7,170.5
PaChr5g17047-t1_17047,157.2,166.8,162,259.9,191.7,327.3
PaChr1g02243-t1_2243,161.1,163.2,162.15,173.4,189.4,194.6
PaCtg0490g27633-t1_27633,,177.4,162.5,190.2,189.2,222.8
PaCtg6303g42898-t1_42898,155.1,173.3,164.2,155.7,186.6,111.5
PaChr2g08994-t1_8994,163.5,165.1,164.3,351.7,249.4,277.5
PaCtg3081g38816-t1_38816,176.8,154.4,165.6,148.9,153.3,121.4
PaChr8g23520-t1_23520,155.8,175.7,165.75,184.4,196.3,134.4
PaChr11g05313-t1_5313,169.8,161.9,165.85,195.5,218.5,98.7
PaChr12g07298-t1_7298,148.3,184.2,166.25,182.5,267.8,194.7
PaChr8g23027-t1_23027,160,173.2,166.6,183.3,189.1,240.7
PaChr1g01108-t1_1108,165.7,167.7,166.7,368.5,385.8,494
PaChr12g07432-t1_7432,167.3,166.8,167.05,132.9,127.7,120.2
PaChr1g00559-t1_559,159.3,175.1,167.2,198.8,182.7,193
PaChr10g04992-t1_4992,174.1,161.8,167.95,1232.4,1258.9,2131.8
PaCtg1556g34138-t1_34138,168,170.2,169.1,162.2,150.7,150.3
PaChr9g24805-t1_24805,175.6,162.8,169.2,139.1,130,156.2
PaChr5g16280-t1_16280,182.2,159.9,171.05,261.6,209.9,135.4
PaCtg2264g36845-t1_36845,166.7,175.5,171.1,154.5,136.9,97.9
PaChr3g11540-t1_11540,168.4,177.1,172.75,479.5,390.1,551
PaChr8g22633-t1_22633,179.1,167.8,173.45,147.9,161.2,194.3
PaCtg0292g26450-t1_26450,175.2,172,173.6,177.3,167.8,219.5
PaCtg0732g29444-t1_29444,168.9,178.3,173.6,216.9,195.9,410
PaChr8g23578-t1_23578,168.9,178.3,173.6,216.9,195.9,410
PaChr5g17445-t1_17445,173.4,175.3,174.35,219.1,246.4,251.1
PaChr9g24750-t1_24750,169.9,179.8,174.85,128,133.3,176.9
PaChr4g14844-t1_14844,153.7,196.9,175.3,244.2,310.8,389
PaChr3g12410-t1_12410,181.4,170.1,175.75,168.5,257.6,120.8
PaCtg2099g36328-t1_36328,179.4,172.3,175.85,119.1,132.5,161.3
PaChr5g17745-t1_17745,165.9,186.8,176.35,189.9,233.3,252.3
PaCtg1205g32288-t1_32288,143.5,209.3,176.4,229.9,395.3,337.5
PaChr1g00204-t1_204,166.3,190.4,178.35,172.3,192.6,249.4
PaChr4g15195-t1_15195,176.9,180.2,178.55,353.2,305.2,221.6
PaChr5g16045-t1_16045,177.2,182.2,179.7,661,388,367.6
PaCtg1958g35771-t1_35771,180.1,182.1,181.1,154,124.7,99.7
PaCtg2793g38191-t1_38191,182.1,180.5,181.3,148.7,160.1,167.3
PaChr1g01051-t1_1051,175.4,188,181.7,188,188.7,260
PaChr8g23752-t1_23752,181.4,182.2,181.8,159.8,202.8,133.7
PaChr4g15373-t1_15373,186,181.6,183.8,371.5,390.7,196.7
PaChr1g03441-t1_3441,147.4,222.5,184.95,138.3,133.1,60.9
PaChr5g17060-t1_17060,175.1,195.3,185.2,307.4,304.4,222.4
PaChr9g24623-t1_24623,183.9,188.9,186.4,317,286.8,399.6
PaChr1g00290-t1_290,185.1,192.8,188.95,165.2,189.6,197
PaChr1g03547-t1_3547,198.4,180.7,189.55,119.3,145,133.1
PaChr11g06281-t1_6281,191.8,187.7,189.75,232.2,184.9,168.7
PaCtg1606g34385-t1_34385,179.3,200.6,189.95,181.7,215.6,285.3
PaCtg1564g34195-t1_34195,190.7,190.4,190.55,336.4,272.5,214.1
PaChr4g15194-t1_15194,193.7,189.4,191.55,218.7,188.3,182.7
PaCtg0326g26697-t1_26697,180.8,203,191.9,124.4,284,185.9
PaCtg1013g31187-t1_31187,200.5,183.9,192.2,191,130,125.7
PaChr1g00466-t1_466,197.1,188.1,192.6,148.2,151,127.6
PaChr11g06612-t1_6612,208.2,178.3,193.25,232.3,228.7,139.9
PaChr3g12819-t1_12819,184,204.7,194.35,215.8,227.9,214.4
PaChr6g18439-t1_18439,217.4,173.7,195.55,214.5,185.1,55.4
PaChr2g08749-t1_8749,202.9,188.6,195.75,162.1,146.1,187.2
PaChr7g21577-t1_21577,184.2,207.5,195.85,172.8,200,205.4
PaChr7g20987-t1_20987,198.3,193.4,195.85,256.9,262.3,113.1
PaCtg2153g36525-t1_36525,204.7,187.3,196,157.1,165,86.8
PaChr2g10105-t1_10105,202,191.3,196.65,475.8,343.3,876.3
PaChr1g02429-t1_2429,193.9,200.4,197.15,153.9,123.5,160.8
PaChr4g15476-t1_15476,200.2,195.6,197.9,239.7,202.3,420.5
PaCtg0484g27604-t1_27604,187.7,208.2,197.95,147.7,97.9,141.3
PaChr8g21896-t1_21896,193.8,203,198.4,186.1,145.9,152.4
PaCtg0124g25630-t1_25630,189.1,207.9,198.5,173.5,189.8,122.3
PaCtg0576g28225-t1_28225,176.2,222,199.1,199.8,267.4,572.9
PaChr3g12559-t1_12559,187.9,211.2,199.55,198.1,221.6,184.8
PaChr10g04398-t1_4398,199.1,200.2,199.65,331.3,264.6,340.6
PaCtg1488g33790-t1_33790,190.7,208.6,199.65,292.8,226,173.7
PaChr7g21137-t1_21137,196,204.7,200.35,154.3,102.6,121.5
PaCtg0419g27180-t1_27180,183.7,217,200.35,188.7,174.2,165.6
PaCtg1878g35446-t1_35446,196.2,204.7,200.45,265.8,255.5,328.8
PaChr7g20946-t1_20946,189.2,212.4,200.8,165.7,176.7,143.3
PaChr11g05416-t1_5416,207.9,199.9,203.9,284.7,179.4,206.1
PaChr1g01542-t1_1542,217.4,191.7,204.55,198.3,139.3,121.6
PaCtg0132g25672-t1_25672,216.3,193,204.65,2664.1,1088.8,4199.5
PaCtg1320g32930-t1_32930,208.9,200.6,204.75,227.5,187.7,213.5
PaChr4g14941-t1_14941,203.9,205.8,204.85,350.4,387.3,268.2
PaChr9g24365-t1_24365,205.9,204.7,205.3,194.6,221.6,207.4
PaChr2g11113-t1_11113,228.1,194.6,211.35,204.1,202.7,100.5
PaCtg2065g36188-t1_36188,222.6,200.7,211.65,481.9,703.1,1002.4
PaChr8g22018-t1_22018,202.9,221.4,212.15,215.8,253.6,322.1
PaChr2g09615-t1_9615,231.9,192.9,212.4,124.5,146.7,74.1
PaChr2g08368-t1_8368,210.6,215.8,213.2,203.2,212.5,272.2
PaChr1g02635-t1_2635,214.2,216.6,215.4,207.6,182,161.6
PaChr6g19056-t1_19056,190.6,240.3,215.45,205.7,232.4,224
PaCtg1482g33772-t1_33772,207.6,225.8,216.7,244.1,230.5,237.5
PaChr12g07828-t1_7828,218.4,216.7,217.55,315.4,229,348.1
PaChr8g23221-t1_23221,218,218.2,218.1,119.3,105,128.1
PaChr2g09913-t1_9913,212.8,224.6,218.7,201.3,184.3,319.8
PaChr1g00918-t1_918,208.5,230.3,219.4,580,661.3,405
PaCtg1094g31617-t1_31617,211.3,228.6,219.95,224.1,205.3,221.2
PaChr3g12524-t1_12524,224.5,216.4,220.45,262.9,206.8,278.1
PaCtg1624g34500-t1_34500,200.2,241.8,221,392.7,400.6,346.6
PaCtg5740g42583-t1_42583,210.6,233.2,221.9,136.4,202.3,159.6
PaCtg2459g37385-t1_37385,220.9,223.8,222.35,265.6,404.7,168.1
PaChr2g09658-t1_9658,220.6,225.1,222.85,138.9,176.8,83.7
PaChr6g19542-t1_19542,200.5,246.4,223.45,491.8,276.9,348.6
PaCtg1932g35651-t1_35651,222.7,226.1,224.4,293.1,279.3,305.3
