id,T0_1,T0_2,T0_3,T6_1,T6_2,T6_3
XP_044481703.1,39912995.35,40422925.89,52037778.74000001,52074287.73,40664419.86,41030880.0
XP_044496463.1,87326129.64000002,69767485.1,109061630.1,48336913.06,26918660.76,53301302.76
XP_044501744.1,264064729.5,278696584.7,245626962.5,203586979.2,200485382.5,216234566.8
XP_044507832.1,2381736.3890000004,1644436.8709999993,3959598.9629999995,4837189.089,2566337.4169999994,3642447.785
XP_044465928.1,61748833.18,49317656.53,46381598.28,45608508.22,43955820.64,43194551.49
XP_044508362.1,850964165.8,748981292.0,940838928.0,636634133.4,694664737.9,755757618.0
XP_044473725.1,119806919.5,179751693.8,236070738.5,119773519.29999998,210474371.6,134286846.6
XP_044468374.1,227785544.1,322248073.0,265688434.2,185990027.3,303761581.7,157941049.8
XP_044497020.1,21315642.48,23342540.41,11481063.51,11009031.8,19199618.06,20644517.79
XP_044506034.1,1256672.9289999995,772987.8670999985,1065605.5920000002,1313169.7139999997,1952882.1830000002,2220767.6040000003
XP_044487992.1,12725358.67,16494987.02,10748359.04,10013442.68,8926839.06,11730693.44
XP_044507951.1,85882715.17000002,35602429.92,49261798.43,34117186.69,52868954.93000001,52658647.08
XP_044494842.1,23462080.64,11472933.1,25479824.94,20530457.67,25280013.33,25505054.7
XP_044461778.1,2577585.545,3409983.1339999996,1629475.0940000005,5081706.567,1392202.296,2729517.613
XP_044477180.1,34189897.51,36583802.17,42839708.54,27195508.65,30073470.05,18371542.51
XP_044467577.1,97829429.61000001,55566777.2,76333422.44,88405191.32,60910515.510000005,82763655.12
XP_044478174.1,47509656.18,34819986.88,45687366.12,36663995.58,41756754.58,55303160.21
XP_044468280.1,1112830257.0,1205095359.0,1304734594.0,809201467.6,1384945359.0,1130751630.0
XP_044500858.1,168533866.7,505696637.9,333390042.2,266043272.3,354498495.8,559384669.4
XP_044485864.1,341324316.6,315313002.6,487330173.4,582344390.1,237967847.1,401361642.2
XP_044507021.1,47749225.94,44003917.69,48583330.8,49104387.81,37515546.08,42185468.43
XP_044480699.1,469809059.6,274254141.8,359489374.7,374367855.9,418228169.4,429218070.9
XP_044487319.1,204596927.0,158592390.0,120742857.4,94857569.07999998,111883580.6,139802807.8
XP_044485219.1,16948671.53,11790531.86,9404923.403,11779342.26,6243054.17,12225730.32
XP_044470276.1,51486382.65,66689309.5,59678448.56,65674285.47,63030158.32000001,63031393.11
XP_044464011.1,68918183.56,41932739.93,65391727.02000001,40567981.35,47604893.3,52855123.02
XP_044464976.1,190781840.6,142134558.0,147141542.7,93398820.97,141894486.0,177518415.9
XP_044496389.1,56212749.27,69726251.83,52024885.47,57686105.44,47539663.53,58892098.61
XP_044492990.1,132091012.30000001,140868111.8,218434442.2,95129171.35999998,135240036.7,152220601.5
XP_044510297.1,348960620.8,329550112.1,388228482.6,350083505.8,301131179.1,384740105.0
XP_044478376.1,52993743.69,49743869.72,28525334.87,29348653.79,23227101.1,43931818.01
XP_044506154.1,31858955.95,41230433.37,60830783.75,140647020.7,69886213.7,28209041.26
XP_044468586.1,410713067.0,268115899.8,299299311.0,356794187.3,333984846.1,291677487.7
XP_044503514.1,179337040.7,236867488.5,191533234.8,211738599.9,205037004.8,177603968.2
XP_044511383.1,1180104283.0,1509480284.0,1100418917.0,1184779228.0,1509091032.0,1178421585.0
XP_044482732.1,33482393.0,25635018.38,37715386.1,23966984.2,23792033.28,23601740.0
XP_044490326.1,181075512.1,123967074.2,138448523.1,174691219.5,141055374.7,109746407.1
XP_044475586.1,1051837887.0,1038343864.0,1007453595.0,932143622.0,1090275278.0,822522422.3
XP_044463125.1,1701176.4480000008,1014489.9959999993,1033934.5319999997,407379.5830000024,1137733.7760000005,1840416.0170000028
XP_044473622.1,77359053.84,47922227.11,70165085.21,61061750.81,57254325.16,56252693.39
XP_044507204.1,40740.37032999843,48990.44156999886,86640.6875,337872.007100001,1983995.243999999,987441.8776999991
XP_044501846.1,10214478.13,14294203.12,16846129.0,8096620.673,17170459.32,12130650.32
XP_044510864.1,985973.2987999991,769254.8600000013,1193735.1669999994,3423745.035,2038400.5089999996,1279441.9839999974
XP_044462903.1,107660708.5,100769662.7,56339327.900000006,57461711.37,59638380.13000001,95530854.98999998
XP_044481904.1,71144276.44,75165570.54,58821824.17,39403154.82,49731388.93,35109902.84
XP_044505629.1,32672612.5,22439220.49,13992085.64,15713786.36,17169026.88,17296354.31
XP_044462735.1,34955612.9,31468803.6,26442401.69,49625399.25,36808062.86,58828719.15
