lineage_3,log2FC Large/Lung,log2FC Giant/Large,log2FC Small/Giant,transformed_pval,adjusted_p_values_BC2,adjusted_p_values_bh2,adjusted_p_values_by2
thymine,0.025979064671495238,-0.01644835240611496,0.008131122747073364,0.31068789073704506,-0.0,0.27002052248243325,-0.0
UMP,0.014233021162216268,0.040750794975671016,0.028434887462637795,3.154037653898359,0.8018551357869967,2.6591876322182655,1.881359570593633
UDP-galactose/UDP-glucose,0.021315647777092175,-0.026902762703315868,-0.06825360063546139,6.270654881234077,3.918472363122715,4.820887449804967,4.043059388180335
uracil,-0.013411337599083039,0.055416216691647105,-0.12668023424561034,4.237047913159293,1.8848653950479297,3.5081146854458303,2.730286623821198
urate,-0.07227052947105465,0.04347148748530861,-0.10721413407451627,5.125859298229937,2.773676780118574,4.188650128089392,3.41082206646476
uridine,-0.03158074116247407,0.03292602839044539,-0.022747296360594582,0.29502146476518076,-0.0,0.2629852327648723,-0.0
xanthine,-0.019420575821096575,-0.03024519842399279,-0.043729132700333136,3.6401963979034067,1.2880138797920444,3.020407639615013,2.2425795779903805
taurocholate,-0.01029980157607705,-0.010963957193008373,0.027035567248686727,0.08246133767204289,-0.0,0.07663179401131903,-0.0
glycodeoxycholate/glycochenodeoxycholate,-0.02606252236281731,0.018096978610582324,-0.0221810317124,1.3519150136475697,-0.0,1.1069424651840756,0.32911440355944327
taurodeoxycholate/taurochenodeoxycholate,-0.0406434777898848,0.00999849448116473,-0.09828219172027647,4.193702500653502,1.8415199825421391,3.4749884381217258,2.6971603764970933
phosphocreatine,0.0986203829959751,-0.01490800913854234,-0.09848100248751084,1.2493244275959023,-0.0,1.027475677979546,0.24964761635491373
3-methyladipate/pimelate,-0.010666811272651152,0.04659122098014276,-0.0024288048573262973,4.682069749277449,2.3298872311660865,3.848401171043974,3.070573109419342
6-phosphogluconate,-0.020568599088380792,0.05822672780145934,-0.041735511388794444,0.1870245391808043,-0.0,0.16929577222037265,-0.0
alpha-hydroxybutyrate,-0.003536739707370004,0.003917788684455096,0.06088671884624266,7.723793532734429,5.371611014623066,5.927297472481024,5.149469410856391
2-hydroxyglutarate,-0.008450899324374985,-0.004528330799686786,0.04110893135691561,0.48772752966897087,-0.0,0.4107476360868236,-0.0
inositol,0.061895328213038,-0.04194725963939054,0.015898622839054785,2.933686308104897,0.5815037899935345,2.484593776985478,1.7067657153608458
malondialdehyde,0.001962356571331622,0.01899784406904621,-0.03248227266492516,0.13935750854944254,-0.0,0.12761910527819842,-0.0
glycine,0.012087481701749059,-0.04126227823320077,0.06357984461969693,1.080868015277876,-0.0,0.8930383529509506,0.11521029132631828
alanine,0.03285223346478144,-0.16823052414289927,0.1753782209646648,1.532938282249053,-0.0,1.2679186325882426,0.49009057096361036
serine,-0.10264408452582524,0.07165973430766219,0.04906515531189412,1.8394014690763736,-0.0,1.5364369736351928,0.7586089120105605
threonine,-0.016709748935010035,-0.03193095612225055,0.07888093996289458,0.48944936191896193,-0.0,0.4107476360868236,-0.0
methionine,-0.0483705220010121,0.008028453219460168,-0.03406326551784351,3.493732112397628,1.1415495942862657,2.9151723024864067,2.137344240861774
aspartate,-0.023467304610105044,0.08202127786742452,-0.04707063361669762,0.21916757870046075,-0.0,0.1973988339382891,-0.0
glutamate,0.015114799766591632,-0.004244137385351526,0.0018432294875957798,0.3104491795380414,-0.0,0.27002052248243325,-0.0
asparagine,0.024058808965782164,0.04238193134687414,-0.10081654696921769,1.1292310797543155,-0.0,0.9233619301032931,0.14553386847866087
glutamine,-0.08945617862889146,0.07534114690388842,0.014019821996989862,0.41961255401056496,-0.0,0.35298734490697625,-0.0
histidine,-0.041727529260620774,0.020355535307508374,-0.042708648321571924,2.9049043765468165,0.5527218584354542,2.461206877314104,1.6833788156894716
arginine,-0.023382801264769028,0.03654777709462822,-0.09829294315763538,5.263154259580685,2.9109717414693224,4.291182983180929,3.5133549215562963
lysine,-0.07550723513117567,0.002127230210224715,0.019482537225815694,2.1095265762179873,-0.0,1.778330369732803,1.0005023081081708
valine,-0.05850190936231961,-0.01417017114369137,0.05107602544235361,0.9395114155122077,-0.0,0.7776605955711368,-0.0
leucine,-0.046855678191925446,0.021697323431357975,-0.05782478966067932,4.361047381521588,2.008864863410225,3.6109248547381876,2.833096793113555
isoleucine,-0.05403895069503844,0.03414083661362496,-0.06473429957807698,4.4507563217848,2.0985738036734376,3.6783574002902477,2.9005293386656157
phenylalanine,-0.05237809141615332,-0.01006563665759895,-0.0006247188149464161,2.2903018068141576,-0.0,1.9293453643952903,1.1515173027706578
tyrosine,-0.043981680734283206,0.007423965102556841,-0.03297671720527715,3.0002630440136655,0.6480805259023029,2.528894118183094,1.751066056558462
tryptophan,-0.05674219358144372,0.01795352762172077,-0.008054696038624987,2.1052070225793953,-0.0,1.778330369732803,1.0005023081081708
proline,0.033362742727100395,-0.05699745288411493,0.0027461085342082546,1.4353444058908544,-0.0,1.1800719007875484,0.4022438391629161
cis/trans-hydroxyproline,-0.012213372693521947,0.09913191300410656,-0.12811636266996063,0.5247804725740572,-0.0,0.4374157774722313,-0.0
ornithine,-0.0292722604491917,0.04898010349333495,-0.06313491878404383,1.6486644851791756,-0.0,1.371511217710436,0.5936831560858039
citrulline,-0.02016262518056177,-0.000920493698609363,-0.047183408531062856,2.6513935250279927,0.2992110069166304,2.2337094581601984,1.455881396535566
taurine,0.02325672221140632,-0.04765438702879895,-0.005046373862518054,1.2103951557291106,-0.0,0.9980917240189847,0.22026366239435238
5-HIAA,-0.03260477018972582,0.044199713518429454,0.02806279067468777,2.701513338576594,0.34933082046523173,2.2736101065271135,1.495782044902481
serotonin,-0.02903293033488105,0.10014581324013247,-0.016879219642551062,1.8329298222914263,-0.0,1.5338257476634836,0.7559976860388513
GABA,0.02100694293186769,-0.07188510628392641,0.11133189899172365,1.1931534930466052,-0.0,0.9839857751893377,0.20615771356470544
acetylglycine,-0.00427501190750894,-0.021654349721166054,0.07435579540076921,3.8111084475350516,1.4589259294236894,3.157895933759708,2.3800678721350756
dimethylglycine,-0.026999279967855873,-0.009741963578472946,-0.03279293660731943,5.5409330331160405,3.188750515004678,4.4675041159575075,3.689676054332875
homocysteine,0.016637404577267745,-0.07188966183988574,0.021129861774947384,0.46755428430848606,-0.0,0.3986729949006732,-0.0
SDMA/ADMA,-0.013005862189573452,-0.005792679415943247,-0.055154826647981776,3.7287329651192485,1.3765504470078862,3.092553790642685,2.3147257290180527
NMMA,-0.011042902821661527,-0.0068805654863661825,-0.06582472494315715,4.5059845076941745,2.1538019895828118,3.7220037136498068,2.9441756520251747
allantoin,-0.03988182642674558,0.002070573398591948,-0.05569115834135972,5.973605246054588,3.621422727943226,4.662815413101451,3.8849873514768185
