id,T0_1,T0_2,T0_3,T6_1,T6_2,T6_3
XP_044461408.1,249938302.3,264766215.1,262735085.3,532320179.1,285049332,458225175.5
XP_044505396.1,13773673.05,21615380.16,17728574.65,10489027.43,17113080.84,15132213.23
XP_044505606.1,6417988.498,11970404.72,6685631.894,13501011.54,3384779.268,11925400.11
XP_044493245.1,5140990.589,6835357.065,4333641.153,3579757.489,2264370.016,3152008.021
XP_044468053.1,63181198.31,49997868.58,59636641.25,59021100.75,96990142.05,64286572.1
XP_044480162.1,70456157.05,53962461.4,53971461,43230216.49,56766665.46,76970064.92
XP_044499780.1,1310764.138,1552473.005,522763.9417,1472395.365,6677061.597,5233133.759
XP_044463054.1,25738181.15,17949435.36,23330362.98,12472555.35,14082114.37,23338918.18
XP_044466486.1,137940564.8,159242120.6,90967752.08,141718262.7,88402608.77,70525573.69
XP_044463794.1,295944471.3,224044204.7,269407156.2,205571374.1,234920288.8,214685387.2
XP_044499690.1,3215802.48,14616087.18,7064439.76,9294691.806,7031957.171,8265485.722
XP_044475846.1,235741550.2,186001408.2,222565897.6,119403144.3,167305418.1,332271778.7
XP_044508604.1,5477665.748,14628071.82,9462405.946,9260579.209,5461549.41,17192641.31
XP_044506447.1,174985368,102979686.4,125042983.2,71203185.3,98731826.04,123651842.6
XP_044500887.1,95953017.97,99280315.95,64962760.71,50272149.08,31355729.16,42556704.67
XP_044494603.1,37313977.68,60228972.11,48645237.56,40205821.1,42408017.41,53718930.81
XP_044487168.1,165892257.9,170043802.7,178960575.3,149743787.9,210200462.9,232172720.2
XP_044464251.1,231261470.1,252988822.4,227857489.7,270602280.9,217671945.2,219714867.1
XP_044502929.1,73466533.86,65965852.53,46401483.04,73411262.8,68870066.13,77370930.93
XP_044477426.1,125223529.6,132403723.5,131062669.8,103653524,132492164.2,113489997.9
XP_044463503.1,122917539.6,127295675.8,86876866.71,119633546.5,123317191.3,111899119.5
XP_044511708.1,61220798.11,75372871.6,49129104.15,29100211.34,31452294.65,67187616.71
XP_044489932.1,1462812.222,3391223.695,2459766.949,5748679.495,6804408.597,5502238.387
XP_044471789.1,12585070.22,5471005.229,2475910.739,3991351.438,3234103.138,16467432.73
XP_044492230.1,96458287.09,113539836.7,103880176.3,97149025.35,74049987.3,110434578.5
XP_044484207.1,8534177.359,9461228.617,9801265.912,7934187.189,6679032.409,8016781.379
XP_044496234.1,2781571.074,8091992.52,2358933.256,1404169.094,1759214.981,2843252.278
XP_044462356.1,2925291.611,2526982.232,1384321.634,6126956.463,2705232.228,5545524.369
XP_044502159.1,67130752.4,68737106.35,84038508.22,99683681.39,126049522.3,85491382.01
XP_044468338.1,3022573.419,2679628.645,1734898.914,4341607.774,14129805.39,5969698.831
XP_044507943.1,197577694.2,202027447.3,147265444.7,134489624,149960820.8,165418201.3
XP_044472099.1,144616459.6,183932028,240159904.7,140367832.9,188580950.3,110911762
XP_044481224.1,144595340.3,168382685.5,168697452.3,383236446.4,190529444.7,134396334.5
XP_044489052.1,92313423.64,127204441.1,89686933.86,166534142.7,125493773.9,135404011.1
XP_044508899.1,1167419.825,,203627.3555,1942362.007,3070980.619,1178296.17
XP_044477815.1,32568983.73,25721947.5,25017900.31,29872576.21,37591665.02,31738742.9
XP_044506030.1,12755294.15,8135233.677,23132731,10450352.71,31460324.1,18757298.23
XP_044468668.1,126765773.4,85801802.28,146637671.8,154074397.6,138241714.6,137447842.5
XP_044470272.1,38776874.23,37645429.39,53128523.76,36918523.91,39605572.49,34573600.44
XP_044483056.1,145156590.5,125433602,194014342.9,101956353.3,116168127.1,189772909.9
XP_044506536.1,69133815.62,72697228.26,61175883.12,65866222.79,70148591.24,67867747.7
XP_044494416.1,47188985.39,35427229.91,71818515.67,57941028.21,51229865.41,36856996.52
XP_044509248.1,87121985.34,57745125.97,86373546.93,82570175.31,60310119.67,69273224.6
XP_044485794.1,136308184.9,176790317.8,193826634.7,138937222.4,133422288.3,154901161.3
XP_044497046.1,372958.0256,470224.4297,282136.3535,1468812.328,1325434.012,412677.1008
XP_044501821.1,54111879.56,52154118.27,69569347.13,52578848.16,64390708,83069946.62
